name,warranty,shipping,ships_in,country_of_origin,sin,part_no,gsa_schedule 
"QS65B-1040100-401 - Dataram Corporation 1D plus PDF, Micro-PDF Decoding, USB with Multi-Interface Base Station, Gray, US P/S, Series A Cable, 12¿",,FOB Destination,30 Days,Taiwan,132-8,,Exp.
Q24-DN000000001689 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001679 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64 Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
"QS65B-1050000-502 - Dataram Corporation 1D plus PDF, Micro-PDF Decoding, IBM 46XX with Multi-Interface Base Station, Gray, Port 9B, Coiled, 12¿",,FOB Destination,30 Days,Taiwan,132-8,,Exp.
QD2330-BKK3S - Dataram Corporation QuickScan D2330 Black KBW Stand Kit with cable 90G001010 & stand STD-QD20-BK,,FOB Destination,30 Days,Slovakia,132-8,,Exp.
850200725 - NEC Corporation NEC Express5800/A1160 Enterprise Server Module with 4 x 6-core Intel Xeon X7460 (2.67GHz/16MB Cache) Processors and No Memory,,FOB Destination,30 Days,Japan,132-8,,Exp.
Q24-DN000000001686 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
850-03361-200E - NEC Corporation CRU for 320Fd-MR (physical 2x Quad-Core Xeon E5450 E-step) server,,FOB Destination,30 Days,United States,132-8,,Exp.
Q24-DN000000001687 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-03547-012 - NEC Corporation ExpressCluster X R2 LAN Edition for Linux x64 Upgrade for 3-year standard maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-03461-916 - NEC Corporation ExpressCluster X R2 SAN for Xen Upgrade for 3-year standard maintenance support Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-34,,Exp.
62-3S09AMS - NEC Corporation 1 Year of Standard Software Support for ReplicationControl SQL Option - D3-10i,,FOB Destination,30 Days,United States,132-34,,Exp.
850-03584-100 - NEC Corporation CRU for R320a-E4 (physical 1x 2.0GHz Quad Core Xeon E5504) server,,FOB Destination,30 Days,United States,132-8,,Exp.
"QS65B-3010000 - Dataram Corporation 1D plus PDF, Micro-PDF Decoding with Multi-Interface Base Station, Black (Default I/F is RS-232)",,FOB Destination,30 Days,Taiwan,132-8,,Exp.
UPGSWS-03461-058 - NEC Corporation ExpressCluster X R2 SAN for Xen Upgrade for 3-year standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-34,,Exp.
UPGSWS-03452-058 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows x64 Upgrade for 3-year standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-03453-034 - NEC Corporation ExpressCluster X R2 SAN Edition for Windows x64 Upgrade for 3-year standard maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
62-3S09AMAS - NEC Corporation 1 Year of Platinum Software Support for ReplicationControl SQL Option - D3-10i,,FOB Destination,30 Days,United States,132-34,,Exp.
UPGSWS-02895-034 - NEC Corporation ExpressCluster X SAN Edition for Linux Upgrade for 3-year standard maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGSWS-03088-012 - NEC Corporation ExpressCluster X R2 for NetApp SnapMirror (Windows x64 Edition) base license upgrade to 3-year STANDARD maintenance support 1-2 CPUs,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-02894-058 - NEC Corporation ExpressCluster X LAN Edition for Linux Upgrade for 3-year standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGSWS-02895-012 - NEC Corporation ExpressCluster X SAN Edition for Linux Upgrade for 3-year standard maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-12,,Exp.
Q24-FR000000001296 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows(1st year STANDARD maintenance and support included) Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-FR000000001303 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows - Hybrid Disk Option(1st year STANDARD maintenance and support included),,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-03458-012 - NEC Corporation ExpressCluster X R2 BRE for Windows x64 Upgrade for 3-year standard maintenance support Number of CPUs per Node is 1 - 2.Supported number of nodes per license is 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-02892-916 - NEC Corporation ExpressCluster X LAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 9-16 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
Q24-FR000000001298 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows(1st year STANDARD maintenance and support included) Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-02892-058 - NEC Corporation ExpressCluster X LAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGSWS-02892-034 - NEC Corporation ExpressCluster X LAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGSWS-02888-916 - NEC Corporation ExpressCluster X WAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 9-16 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGSWS-02894-034 - NEC Corporation ExpressCluster X LAN Edition for Linux Upgrade for 3-year standard maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGSWS-02293-058 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 5-6 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001676 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-02292-058 - NEC Corporation ExpressCluster X R2 LAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-FR000000001292 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows(1st year STANDARD maintenance and support included) Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001667 - NEC Corporation ExpressCluster X R3 for Windows x64 - Internet Server Agent OptionUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-FR000000001293 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows(1st year STANDARD maintenance and support included) Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001665 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-02888-034 - NEC Corporation ExpressCluster X WAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
Q24-DN000000001654 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001660 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001675 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001681 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64 Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001699 - NEC Corporation ExpressCluster X R3 for Windows x64 - Internet Server Agent Option Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-FR000000000481 - NEC Corporation CRU for R320b-M4 (physical 1x Quad-Core Xeon x5570) server,,FOB Destination,30 Days,Japan,132-8,,Exp.
Q24-DN000000001685 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 - Hybrid Disk OptionUpgrade 1-year STANDARD to 2-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001680 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64 Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
EXTPTSB-HV2ENC-1Y - NEC Corporation 1 YR Extended Platinum Warranty SigmaBlade 1GB Passthru Card Network Blade Installable only to Hv2ENC,,FOB Destination,30 Days,United States,132-8,,Exp.
Q24-DN000000001657 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-02889-000 - NEC Corporation ExpressCluster X Database Agent for Windows Upgrade for 3-year standard maintenance support Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-12,,Exp.
Q24-DN000000001574 - NEC Corporation ExpressCluster X R3 SAN Edition for WindowsUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001572 - NEC Corporation ExpressCluster X R3 SAN Edition for WindowsUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
050-03088-034 - NEC Corporation ExpressCluster X R2 for NetApp SnapMirror (Windows x64 Edition) (1-year STANDARD maintenance support included) 3-4 CPUs,,FOB Destination,30 Days,Japan,132-33,,Exp.
EXTPTSBF1GBL2-1Y - NEC Corporation 1 YR Extended Platinum Warranty SigmaBlade 1GB L2 Switch Network Blade,,FOB Destination,30 Days,United States,132-8,,Exp.
"UL1610-10X-GL - NEC Corporation VMware Enterprise Edition Plus Acceleration Kit for 8 processors (Includes vSphere Enterprise Edition Plus for 8 processors, 1 vCenter Server STD)",,FOB Destination,30 Days,United States,132-8,,Exp.
UPGADV-03553-012 - NEC Corporation ExpressCluster X R2 LAN for Linux Upgrade for 3-year ADVANCED maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
050-02297-000 - NEC Corporation ExpressCluster X R2 SingleServerSafe for Windows X32 1-2 CPUs/Node (1st year standard maintenance service included),,FOB Destination,30 Days,Japan,132-33,,Exp.
S-S000-00 - Synnex Corporation - OEM Talis Data Systems Audit-X software and softcopy of Security Administrator and User Manuals.Required to program user smart cards for use with a Talis secured PC.,,FOB Destination,30 Days,United States,132-8,,Exp.
050-02294-916 - NEC Corporation ExpressCluster X R2 SAN Edition for Windows (1st year standard maintenance service 0) Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
050-03087-034 - NEC Corporation ExpressCluster X R2 for NetApp SnapMirror (Windows Edition) (1-year STANDARD maintenance support included) 3 - 4 CPUs,,FOB Destination,30 Days,Japan,132-33,,Exp.
"SMARTRACK-SS - Synnex Corporation - OEM SMARTRACK ¿ Digital Arms Room is a fully automated Armory Management system that integrates hardware, software, and a database-management system specifically to manage and track arsenal equipment in armories within the U.S. Military and Law Enforcement a",,FOB Destination,30 Days,United States,132-8,,Exp.
"S-A001-00 - Synnex Corporation - OEM Talis Rosetta Series II Smart Card is an ISO 7816-compliant public key, multi-application smart card.",,FOB Destination,30 Days,United States,132-8,,Exp.
"UL1610-00W-US - NEC Corporation VMware Enterprise Edition Plus Acceleration Kit for 6 processors (Includes vSphere Enterprise Edition Plus for 6 processors, 1 vCenter Server STD)",,FOB Destination,30 Days,United States,132-33,,Exp.
UL1610-103-GL(S) - NEC Corporation 1-year support of VMware vSphere 4 Essentials Bundle for 3 hosts (Maximum 2 CPUs per host and 6 cores per CPU),,FOB Destination,30 Days,United States,132-8,,Exp.
SWS-02894-058 - NEC Corporation ExpressCluster X LAN Edition for Linux Annual standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
"UPGADV-03557-000 - NEC Corporation ""ExpressCluster X R2 Internet Server Agent (Linux Edition) Annual upgrade of standard maintenance service to ADVANCED Support Support number of nodes per license 1",,FOB Destination,30 Days,United States,132-8,,Exp.
UPGADV-03556-000 - NEC Corporation ExpressCluster X R2 Database Agent for Linux Upgrade for 3-year ADVANCED maintenance support Support number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
UL1610-00S-US - NEC Corporation Upgrade VMware vSphere Enterprise Edition to vSphere Enterprise Edition Plus for 1 proc,,FOB Destination,30 Days,United States,132-33,,Exp.
SWS-02295-000 - NEC Corporation ExpressCluster X R2 Database Agent for Windows Annual standard maintenance service Number of CPUs per node 1 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
SWS-02293-058 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows Annual standard maintenance service Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGADV-03553-034 - NEC Corporation ExpressCluster X R2 LAN for Linux Upgrade for 3-year ADVANCED maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
UPGADV-03553-058 - NEC Corporation ExpressCluster X R2 LAN for Linux Upgrade for 3-year ADVANCED maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
UPGADV-03554-012 - NEC Corporation ExpressCluster X R2 WAN for Linux Upgrade for 3-year ADVANCED maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
Q24-DN000000001575 - NEC Corporation ExpressCluster X R3 for Windows - Database Server Agent OptionUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
050-02293-916 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows (1st year standard maintenance service 0) Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
UPGLD-A1080A4-3Y - NEC Corporation 3YRS Upgraded Gold Wty A1080a 1-4 Processors in Server,,FOB Destination,30 Days,United States,132-12,,Exp.
ADV-02075-012 - NEC Corporation ExpressCluster X SAN Edition for Windows Annual upgrade of standard maintenance service to ADVANCED support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-12,,Exp.
050-02293-058 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows (1st year standard maintenance service 0) Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
UPGADV-03558-000 - NEC Corporation ExpressCluster X R2 Hybrid Disk Option for Linux Upgrade for 3-year ADVANCED maintenance support Support number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
050-02293-012 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows (1st year standard maintenance service 0) Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
ADV-02292-012 - NEC Corporation ExpressCluster X R2 LAN Edition for Windows Annual upgrade of standard maintenance service to ADVANCED support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-12,,Exp.
UL1610-103-GL - NEC Corporation VMware vSphere 4 Essentials Bundle for 3 hosts (Maximum 2 CPUs per host and 6 cores per CPU),,FOB Destination,30 Days,United States,132-8,,Exp.
"874-005006 - NEC Corporation SUSE Linux Enterprise Server for X86, AMD64 & Intel EM64T, Itanium & IBM Power (Maximum 32CPU Sockets) 1-Year Subscription (Electronic Delivery)",,FOB Destination,30 Days,United States,132-33,,Exp.
UL1610-10B-GL(S) - NEC Corporation 1-year support of VMware vSphere 4 Standard Edition Plus Data Recovery for 1 processor (Maximum 6 cores per CPU),,FOB Destination,30 Days,United States,132-8,,Exp.
UL1610-104-GL(S) - NEC Corporation 1-year support of VMware vSphere 4 Essentials Plus Bundle for 3 hosts (Maximum 2 CPUs per host and 6 cores per CPU),,FOB Destination,30 Days,United States,132-8,,Exp.
Q24-DN000000001570 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
050-02293-034 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows (1st year standard maintenance service 0) Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
UPPLT-03453-058-2Y - NEC Corporation ExpressCluster X R2 SAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (5-8 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
UPPLT-03453-916-2Y - NEC Corporation ExpressCluster X R2 SAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (9-16 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
UL1610-108-GL(S) - NEC Corporation 1-year support of VMware vSphere 4 Enterprise Edition Plus for 1 processor (Maximum 12 cores per CPU),,FOB Destination,30 Days,United States,132-8,,Exp.
UPPLT-03452-034-2Y - NEC Corporation ExpressCluster X R2 WAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (3-4 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
050-02292-034 - NEC Corporation ExpressCluster X R2 LAN Edition for Windows (1st year standard maintenance support 0) Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
Q24-DN000000001558 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001557 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001556 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001559 - NEC Corporation ExpressCluster X R3 for Windows - Database Server Agent OptionUpgrade 1-year STANDARD to 3-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
"850202701 - NEC Corporation SIGMABLADE-M (6U), Power Unit set x2, fan x4, EM Card x1, SWMless, RoHS, EXPRESSSCOPE monitor, DVD-ROM x1",,FOB Destination,30 Days,Japan,132-8,,Exp.
Q24-DN000000001656 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001646 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
850200726 - NEC Corporation NEC Express5800/A1160 Enterprise Server Module with 4 x 4-core Intel Xeon E7440 (2.40GHz/16MB Cache) Processors and No Memory,,FOB Destination,30 Days,Japan,132-8,,Exp.
Q24-DN000000001663 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
"850193310S-OEM - NEC Corporation D3-10 Disk Array Unit with blank bezel, single controller, dual power supplies, 2GB cache per controller, includes StorageManager, PathManager, PowerConserver software",,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001662 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
"850193310S - NEC Corporation D3-10 Disk Array Unit, single controller, dual power supplies, 2GB cache per controller, includes StorageManager, PathManager, PowerConserver software",,FOB Destination,30 Days,United States,132-33,,Exp.
850-03360-200E - NEC Corporation CRU for 320Fd-LR (physical 2x Quad-Core Xeon E5405 E-step) server,,FOB Destination,30 Days,United States,132-8,,Exp.
UPGSWS-02893-916 - NEC Corporation ExpressCluster X WAN Edition for Linux Upgrade for 3-year standard maintenance support Number of CPUs per node 9-16 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
850-03584-200 - NEC Corporation CRU for R320a-M4 (physical 2x 2.93GHz Quad Core Xeon E5570) server,,FOB Destination,30 Days,United States,132-8,,Exp.
5BD-31S00AMS - NEC Corporation 1 Year of Standard Software Support for DDR + DSV - D3-10i,,FOB Destination,30 Days,United States,132-34,,Exp.
UPGSWS-02888-058 - NEC Corporation ExpressCluster X WAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGSWS-02294-916 - NEC Corporation ExpressCluster X R2 SAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-02294-034 - NEC Corporation ExpressCluster X R2 SAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-02294-012 - NEC Corporation ExpressCluster X R2 SAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-02292-034 - NEC Corporation ExpressCluster X R2 LAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001549 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001669 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 - Hybrid Disk OptionUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001673 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001668 - NEC Corporation ExpressCluster X R3 for Windows x64 - Alert Service OptionUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001655 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001666 - NEC Corporation ExpressCluster X R3 for Windows x64 - Database Server Agent OptionUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001659 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001658 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-02075-916 - NEC Corporation ExpressCluster X SAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-12,,Exp.
Q24-DN000000001644 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001648 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001636 - NEC Corporation ExpressCluster X R3 for Windows x64 - Alert Service Option1-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001642 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
5F-830102AMS - NEC Corporation 1 Year of Standard Software Support: RemoteDataReplication/ DisasterRecovery - D8-3010,,FOB Destination,30 Days,United States,132-34,,Exp.
UPGSWS-02892-012 - NEC Corporation ExpressCluster X LAN Edition for Windows Upgrade for 3-year standard maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 2,,FOB Destination,30 Days,United States,132-12,,Exp.
Q24-DN000000001643 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-03464-000 - NEC Corporation ExpressCluster X R2 WAN Edition for Windows x64 Hybrid Disk Option Upgrade Upgrade from 1-year to 3-year standard maintenance support Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
UPGSWS-03459-058 - NEC Corporation ExpressCluster X R2 SAN for MS Hyper-V Upgrade for 3-year standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
5E-31S002AMS - NEC Corporation 1 Year of Standard Software Support for VolumeProtect - D3-10i,,FOB Destination,30 Days,United States,132-34,,Exp.
Q24-DN000000001641 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001635 - NEC Corporation ExpressCluster X R3 for Windows x64 - Internet Server Agent Option1-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
UPGSWS-03461-012 - NEC Corporation ExpressCluster X R2 SAN for Xen Upgrade for 3-year standard maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-34,,Exp.
